date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:18	97068/97068	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:02%20GMT	http://cryptomarkethtml.bdtask.com/index.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/index.html	(from )
19:51:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Dec%202022%2018:51:18%20GMT	http://cryptomarkethtml.bdtask.com/robots.txt		(from )
19:51:21	121200/121200	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2022:53:28%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/bootstrap.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:22	24119/24119	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Mar%202018%2006:47:54%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/bootsnav.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/bootsnav.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:23	2936/2936	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2011:43:12%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/owl.carousel.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:23	936/936	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2011:43:12%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/owl.theme.default.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:24	18241/18241	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202018%2022:46:14%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/favicon.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/favicon.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:24	6655/6655	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Jul%202017%2018:56:44%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/bootstrap-select.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/bootstrap-select.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:24	33688/33688	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jan%202018%2023:38:16%20GMT	http://cryptomarkethtml.bdtask.com/assets/flag-icons/css/flag-icon.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/flag-icons/css/flag-icon.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:25	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202018%2015:57:34%20GMT	http://cryptomarkethtml.bdtask.com/assets/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/font-awesome/css/font-awesome.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:26	7046/7046	---M--	200	added ('OK')	text/css	date:Sun,%2018%20Feb%202018%2020:34:54%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/linearicons.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/linearicons.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:27	56048/56048	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2016:47:28%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/animate.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/animate.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:28	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2008:11:48%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/magnific-popup.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:28	4292/4292	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Mar%202018%2000:51:34%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/dataTables.bootstrap.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/dataTables.bootstrap.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:28	3991/3991	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Mar%202018%2001:04:06%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/responsive.bootstrap.min.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/responsive.bootstrap.min.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:29	33687/33687	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2019:55:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/amcharts/export.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/amcharts/export.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:30	87285/87285	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Apr%202018%2008:54:28%20GMT	http://cryptomarkethtml.bdtask.com/assets/css/style.css	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/css/style.css	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:30	9700/9700	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:10%20GMT	http://cryptomarkethtml.bdtask.com/register.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/register.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:32	24538/24538	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:04%20GMT	http://cryptomarkethtml.bdtask.com/lending.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/lending.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:32	59747/59747	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:44%20GMT	http://cryptomarkethtml.bdtask.com/coinmarket.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/coinmarket.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:33	22937/22937	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:48%20GMT	http://cryptomarkethtml.bdtask.com/contact.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/contact.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:34	21905/21905	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:42%20GMT	http://cryptomarkethtml.bdtask.com/buy.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/buy.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:34	21907/21907	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:14%20GMT	http://cryptomarkethtml.bdtask.com/sell.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/sell.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:35	34393/34393	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:08%20GMT	http://cryptomarkethtml.bdtask.com/price.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/price.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:36	37067/37067	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:26%20GMT	http://cryptomarkethtml.bdtask.com/about.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/about.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:37	21856/21856	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:57:16%20GMT	http://cryptomarkethtml.bdtask.com/service.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/service.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:37	24144/24144	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:47:30%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/logo.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/logo.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:37	32663/32663	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:36%20GMT	http://cryptomarkethtml.bdtask.com/blog.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/blog.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:38	36583/36583	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:34%20GMT	http://cryptomarkethtml.bdtask.com/blog-details.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/blog-details.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:40	22704/22704	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Apr%202018%2008:56:56%20GMT	http://cryptomarkethtml.bdtask.com/faq.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/faq.html	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:41	2649/2649	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2019:11:10%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/BTC.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/BTC.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:41	1626/1626	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:28:12%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/ETH.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/ETH.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:41	2570/2570	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:28:22%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/XRP.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/XRP.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:42	1020/1020	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:28:34%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/LTC.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/LTC.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:42	2281/2281	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:29:20%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/tron.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/tron.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:42	1263/1263	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2019:53:18%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/BTG.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/BTG.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:43	21887/21887	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:32:04%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/qtum.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/qtum.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:43	4291/4291	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:28:48%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/stellar.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/stellar.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:43	1543/1543	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:29:08%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/DASH.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/DASH.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:44	1713/1713	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:31:50%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/ETC.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/ETC.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:44	2958/2958	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:07:36%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/ZEC.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/ZEC.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:44	5429/5429	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202018%2020:29:00%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/neo.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/neo.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:44	6897/6897	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:28:44%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/EURGBP.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/EURGBP.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:45	1963/1963	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:45:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/AAPL.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/AAPL.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:45	2368/2368	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:49:06%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/GOOG.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/GOOG.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:45	4208/4208	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:49:58%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/AMZN.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/AMZN.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:45	1401/1401	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:50:44%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/FB.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/FB.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:46	1173/1173	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2011%20Feb%202018%2020:51:36%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/coin-logo/MSFT.svg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/coin-logo/MSFT.svg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:47	7798/7798	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2019:31:20%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/avatar-1.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/avatar-1.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:51	33413/33413	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:40:36%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/01.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/01.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:54	40841/40841	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:38:32%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/02.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/02.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:51:58	36717/36717	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:38:08%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/03.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/03.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:01	42820/42820	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:37:46%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/04.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/04.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:05	38150/38150	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:37:24%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/05.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/05.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:07	35355/35355	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:41:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/06.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/06.png	(from http://cryptomarkethtml.bdtask.com/index.html)
